Radiant1,Radiant2,Radiant3,Radiant4,Radiant5,Dire1,Dire2,Dire3,Dire4,Dire5,RadWin
Phoenix,Ursa,Nature's Prophet,Tusk,Tiny,Jakiro,Mirana,Shadow Fiend,Mars,Rubick,1
Bane,Ember Spirit,Nature's Prophet,Bloodseeker,Spirit Breaker,Anti-Mage,Storm Spirit,Phoenix,Centaur Warrunner,Treant Protector,1
Puck,Earthshaker,Zeus,Lifestealer,Bloodseeker,Tiny,Rubick,Templar Assassin,Wraith King,Ogre Magi,1
Mirana,Earth Spirit,Morphling,Queen of Pain,Chen,Grimstroke,Jakiro,Treant Protector,Tiny,Naga Siren,0
Windranger,Lycan,Night Stalker,Snapfire,Queen of Pain,Chen,Death Prophet,Phoenix,Dragon Knight,Shadow Demon,0
Rubick,Sniper,Night Stalker,Ember Spirit,Undying,Slark,Nature's Prophet,Witch Doctor,Snapfire,Viper,1
Grimstroke,Jakiro,Chen,Ember Spirit,Bloodseeker,Weaver,Tiny,Queen of Pain,Enchantress,Ogre Magi,1
Jakiro,Ember Spirit,Doom,Visage,Tusk,Morphling,Kunkka,Rubick,Legion Commander,Clockwerk,1
Shadow Demon,Invoker,Ogre Magi,Beastmaster,Clinkz,Earth Spirit,Storm Spirit,Nyx Assassin,Brewmaster,Ember Spirit,1
Mirana,Lycan,Beastmaster,Tusk,Venomancer,Phantom Assassin,Pugna,Clockwerk,Outworld Devourer,Pangolier,1
Phoenix,Ursa,Techies,Vengeful Spirit,Necrophos,Ogre Magi,Rubick,Enigma,Faceless Void,Sniper,0
Queen of Pain,Abaddon,Naga Siren,Tusk,Disruptor,Shadow Demon,Leshrac,Ogre Magi,Nature's Prophet,Clinkz,1
Clockwerk,Ursa,Dark Willow,Mars,Queen of Pain,Nature's Prophet,Storm Spirit,Abaddon,Tusk,Terrorblade,1
Lone Druid,Ogre Magi,Brewmaster,Invoker,Queen of Pain,Clockwerk,Shadow Fiend,Slardar,Drow Ranger,Mirana,0
Io,Sniper,Luna,Mars,Snapfire,Slark,Void Spirit,Lich,Batrider,Phoenix,0
Keeper of the Light,Ember Spirit,Queen of Pain,Venomancer,Earth Spirit,Shadow Fiend,Clockwerk,Vengeful Spirit,Void Spirit,Disruptor,0
Troll Warlord,Tusk,Storm Spirit,Disruptor,Legion Commander,Pugna,Void Spirit,Luna,Lich,Doom,1
Void Spirit,Beastmaster,Phoenix,Treant Protector,Ember Spirit,Snapfire,Jakiro,Faceless Void,Tiny,Weaver,0
Tidehunter,Shadow Fiend,Mirana,Lich,Ursa,Spectre,Phoenix,Axe,Viper,Bane,0
Ogre Magi,Templar Assassin,Bounty Hunter,Rubick,Leshrac,Lion,Nature's Prophet,Bloodseeker,Pugna,Tusk,0
Pangolier,Jakiro,Weaver,Kunkka,Naga Siren,Void Spirit,Disruptor,Nature's Prophet,Tusk,Sand King,1
Death Prophet,Shadow Demon,Faceless Void,Grimstroke,Doom,Mirana,Winter Wyvern,Anti-Mage,Rubick,Tiny,1
Luna,Invoker,Omniknight,Tiny,Ogre Magi,Bounty Hunter,Legion Commander,Razor,Queen of Pain,Rubick,1
Lich,Slark,Void Spirit,Leshrac,Mirana,Zeus,Faceless Void,Dark Willow,Oracle,Mars,0
Morphling,Phoenix,Juggernaut,Snapfire,Tiny,Nyx Assassin,Oracle,Batrider,Terrorblade,Doom,1
Mars,Leshrac,Luna,Warlock,Mirana,Keeper of the Light,Troll Warlord,Tiny,Ember Spirit,Lion,1
Oracle,Terrorblade,Windranger,Ember Spirit,Centaur Warrunner,Zeus,Snapfire,Treant Protector,Tiny,Nature's Prophet,0
Clinkz,Ember Spirit,Doom,Shadow Demon,Puck,Disruptor,Rubick,Timbersaw,Terrorblade,Nature's Prophet,1
Terrorblade,Ember Spirit,Windranger,Oracle,Centaur Warrunner,Nature's Prophet,Zeus,Treant Protector,Snapfire,Tiny,0
Bane,Phantom Assassin,Doom,Storm Spirit,Shadow Shaman,Nature's Prophet,Clockwerk,Shadow Fiend,Morphling,Rubick,1
Winter Wyvern,Mars,Windranger,Nature's Prophet,Ursa,Jakiro,Lina,Storm Spirit,Riki,Centaur Warrunner,0
Enchantress,Necrophos,Rubick,Legion Commander,Troll Warlord,Jakiro,Earth Spirit,Lina,Ursa,Nature's Prophet,0
Earthshaker,Nature's Prophet,Underlord,Lina,Queen of Pain,Phoenix,Legion Commander,Spectre,Mirana,Elder Titan,0
Disruptor,Nature's Prophet,Beastmaster,Mirana,Kunkka,Tidehunter,Ursa,Queen of Pain,Bane,Clockwerk,0
Ogre Magi,Void Spirit,Lina,Beastmaster,Terrorblade,Elder Titan,Storm Spirit,Vengeful Spirit,Phoenix,Drow Ranger,1
Earth Spirit,Winter Wyvern,Phoenix,Morphling,Abaddon,Pangolier,Nature's Prophet,Queen of Pain,Ogre Magi,Troll Warlord,1
Oracle,Tiny,Clockwerk,Phoenix,Alchemist,Mirana,Bristleback,Batrider,Earth Spirit,Spectre,0
Void Spirit,Pangolier,Phoenix,Juggernaut,Nature's Prophet,Winter Wyvern,Axe,Anti-Mage,Tusk,Shadow Fiend,0
Jakiro,Slark,Queen of Pain,Legion Commander,Rubick,Winter Wyvern,Lone Druid,Sand King,Mirana,Void Spirit,0
Bane,Gyrocopter,Sand King,Mirana,Kunkka,Jakiro,Phantom Lancer,Centaur Warrunner,Ember Spirit,Queen of Pain,1
Leshrac,Lifestealer,Ember Spirit,Ogre Magi,Io,Batrider,Queen of Pain,Anti-Mage,Earthshaker,Timbersaw,0
Ancient Apparition,Bristleback,Ember Spirit,Drow Ranger,Vengeful Spirit,Queen of Pain,Wraith King,Ogre Magi,Pugna,Kunkka,1
Grimstroke,Phoenix,Ursa,Queen of Pain,Pangolier,Brewmaster,Bane,Spectre,Invoker,Rubick,1
Morphling,Nature's Prophet,Sand King,Phoenix,Vengeful Spirit,Bloodseeker,Crystal Maiden,Lina,Centaur Warrunner,Ogre Magi,1
Legion Commander,Tiny,Anti-Mage,Windranger,Phoenix,Troll Warlord,Oracle,Kunkka,Snapfire,Pangolier,0
Riki,Queen of Pain,Razor,Lich,Warlock,Morphling,Lion,Ursa,Earthshaker,Pangolier,1
Huskar,Morphling,Legion Commander,Windranger,Lich,Grimstroke,Queen of Pain,Ursa,Visage,Ogre Magi,1
Skywrath Mage,Jakiro,Slark,Nature's Prophet,Timbersaw,Razor,Pugna,Earth Spirit,Bristleback,Undying,1
Viper,Ember Spirit,Omniknight,Phoenix,Jakiro,Winter Wyvern,Anti-Mage,Monkey King,Ogre Magi,Keeper of the Light,0
Grimstroke,Queen of Pain,Ursa,Skywrath Mage,Night Stalker,Juggernaut,Tinker,Underlord,Doom,Lich,1
Lina,Ember Spirit,Underlord,Rubick,Keeper of the Light,Morphling,Night Stalker,Lich,Queen of Pain,Mirana,1
Winter Wyvern,Bloodseeker,Venomancer,Anti-Mage,Earth Spirit,Undying,Phoenix,Sand King,Mirana,Spectre,1
Morphling,Nature's Prophet,Earth Spirit,Pugna,Treant Protector,Terrorblade,Sniper,Tiny,Jakiro,Clockwerk,1
Lion,Mirana,Dazzle,Doom,Tiny,Kunkka,Wraith King,Queen of Pain,Clockwerk,Winter Wyvern,0
Naga Siren,Ember Spirit,Legion Commander,Lich,Mirana,Faceless Void,Weaver,Tiny,Leshrac,Phoenix,0
Ursa,Puck,Lich,Ogre Magi,Doom,Grimstroke,Ember Spirit,Lycan,Chen,Keeper of the Light,0
Pangolier,Puck,Crystal Maiden,Ursa,Earth Spirit,Chen,Terrorblade,Tiny,Venomancer,Mirana,1
Juggernaut,Bristleback,Crystal Maiden,Leshrac,Shadow Demon,Pangolier,Vengeful Spirit,Dazzle,Nature's Prophet,Huskar,0
Ogre Magi,Templar Assassin,Centaur Warrunner,Mirana,Morphling,Troll Warlord,Tiny,Nature's Prophet,Ember Spirit,Phoenix,0
Nature's Prophet,Viper,Tiny,Morphling,Ogre Magi,Pangolier,Earthshaker,Broodmother,Spectre,Winter Wyvern,0
Elder Titan,Naga Siren,Queen of Pain,Centaur Warrunner,Earthshaker,Anti-Mage,Nature's Prophet,Bane,Necrophos,Nyx Assassin,1
Wraith King,Queen of Pain,Dragon Knight,Shadow Shaman,Shadow Demon,Pugna,Juggernaut,Puck,Pudge,Clockwerk,0
Undying,Morphling,Vengeful Spirit,Visage,Tusk,Broodmother,Earthshaker,Tiny,Weaver,Enchantress,1
Underlord,Timbersaw,Witch Doctor,Phantom Lancer,Batrider,Nature's Prophet,Elder Titan,Ogre Magi,Kunkka,Riki,1
Drow Ranger,Dragon Knight,Tiny,Jakiro,Earthshaker,Night Stalker,Terrorblade,Treant Protector,Rubick,Queen of Pain,0
Mirana,Invoker,Pangolier,Ogre Magi,Morphling,Leshrac,Dragon Knight,Shadow Shaman,Rubick,Ursa,1
Ogre Magi,Queen of Pain,Doom,Mirana,Pangolier,Mars,Phoenix,Terrorblade,Void Spirit,Clockwerk,1
Void Spirit,Bloodseeker,Dark Willow,Clockwerk,Zeus,Terrorblade,Visage,Beastmaster,Shadow Demon,Mirana,1
Abaddon,Leshrac,Treant Protector,Rubick,Terrorblade,Phoenix,Faceless Void,Elder Titan,Zeus,Timbersaw,1
Void Spirit,Treant Protector,Terrorblade,Visage,Snapfire,Clockwerk,Spectre,Zeus,Brewmaster,Phoenix,1
Death Prophet,Ogre Magi,Troll Warlord,Beastmaster,Jakiro,Centaur Warrunner,Leshrac,Ursa,Rubick,Warlock,1
Doom,Clockwerk,Weaver,Ancient Apparition,Legion Commander,Earthshaker,Lifestealer,Batrider,Clinkz,Venomancer,1
Dragon Knight,Morphling,Vengeful Spirit,Mirana,Oracle,Dark Willow,Void Spirit,Spectre,Pugna,Bane,0
Batrider,Ursa,Clockwerk,Kunkka,Keeper of the Light,Tiny,Snapfire,Slark,Pangolier,Puck,0
Jakiro,Queen of Pain,Legion Commander,Earth Spirit,Spectre,Vengeful Spirit,Templar Assassin,Nature's Prophet,Keeper of the Light,Ember Spirit,1
Doom,Rubick,Slark,Shadow Fiend,Warlock,Storm Spirit,Witch Doctor,Faceless Void,Ogre Magi,Bounty Hunter,0
Treant Protector,Ember Spirit,Phoenix,Arc Warden,Clockwerk,Anti-Mage,Venomancer,Jakiro,Tiny,Doom,0
Slark,Legion Commander,Mirana,Lich,Ember Spirit,Queen of Pain,Morphling,Batrider,Oracle,Earthshaker,0
Phoenix,Treant Protector,Arc Warden,Ember Spirit,Clockwerk,Anti-Mage,Venomancer,Tiny,Doom,Jakiro,1
Jakiro,Venomancer,Templar Assassin,Puck,Pangolier,Centaur Warrunner,Spectre,Clockwerk,Queen of Pain,Keeper of the Light,1
Ember Spirit,Luna,Silencer,Centaur Warrunner,Crystal Maiden,Tusk,Morphling,Venomancer,Lion,Enigma,0
Bane,Void Spirit,Brewmaster,Snapfire,Ursa,Tiny,Shadow Fiend,Nature's Prophet,Vengeful Spirit,Magnus,0
Earthshaker,Spectre,Nature's Prophet,Batrider,Oracle,Death Prophet,Mars,Phantom Assassin,Shadow Demon,Phoenix,1
Shadow Demon,Tusk,Anti-Mage,Kunkka,Ancient Apparition,Juggernaut,Rubick,Legion Commander,Necrophos,Bane,1
Shadow Fiend,Centaur Warrunner,Ursa,Treant Protector,Pugna,Mars,Shadow Demon,Drow Ranger,Queen of Pain,Rubick,1
Nature's Prophet,Tusk,Legion Commander,Weaver,Axe,Lich,Spectre,Earth Spirit,Pangolier,Batrider,0
Queen of Pain,Pugna,Nyx Assassin,Jakiro,Ursa,Mars,Nature's Prophet,Ember Spirit,Disruptor,Skywrath Mage,1
Tusk,Ancient Apparition,Troll Warlord,Queen of Pain,Centaur Warrunner,Timbersaw,Windranger,Phantom Assassin,Slardar,Shadow Shaman,0
Ogre Magi,Faceless Void,Void Spirit,Mirana,Night Stalker,Dazzle,Lycan,Pugna,Pangolier,Oracle,1
Bounty Hunter,Templar Assassin,Tiny,Oracle,Nature's Prophet,Centaur Warrunner,Riki,Queen of Pain,Winter Wyvern,Grimstroke,1
Legion Commander,Chaos Knight,Crystal Maiden,Ogre Magi,Tidehunter,Invoker,Pangolier,Jakiro,Tiny,Leshrac,0
Vengeful Spirit,Lifestealer,Necrophos,Night Stalker,Void Spirit,Witch Doctor,Puck,Sven,Bristleback,Batrider,1
Bane,Clockwerk,Slark,Dark Seer,Earth Spirit,Puck,Wraith King,Leshrac,Vengeful Spirit,Treant Protector,1
Winter Wyvern,Spectre,Sand King,Mirana,Windranger,Queen of Pain,Lifestealer,Jakiro,Viper,Earthshaker,1
Earthshaker,Abaddon,Beastmaster,Mirana,Kunkka,Sand King,Phoenix,Phantom Lancer,Treant Protector,Queen of Pain,1
Kunkka,Phoenix,Jakiro,Invoker,Nature's Prophet,Legion Commander,Rubick,Terrorblade,Death Prophet,Winter Wyvern,0
Rubick,Legion Commander,Ember Spirit,Mars,Jakiro,Pangolier,Ogre Magi,Mirana,Morphling,Nature's Prophet,0
Jakiro,Ursa,Tiny,Shadow Demon,Templar Assassin,Keeper of the Light,Riki,Legion Commander,Medusa,Puck,0
Clockwerk,Drow Ranger,Jakiro,Necrophos,Lina,Earthshaker,Tinker,Abaddon,Windranger,Morphling,1
Keeper of the Light,Abaddon,Pangolier,Tusk,Nature's Prophet,Jakiro,Storm Spirit,Ogre Magi,Troll Warlord,Pugna,1
Winter Wyvern,Queen of Pain,Timbersaw,Treant Protector,Lifestealer,Enchantress,Viper,Earth Spirit,Luna,Puck,0
Shadow Fiend,Windranger,Timbersaw,Bane,Necrophos,Nature's Prophet,Gyrocopter,Disruptor,Ember Spirit,Clockwerk,0
Bane,Mirana,Void Spirit,Spectre,Timbersaw,Drow Ranger,Pugna,Storm Spirit,Clockwerk,Abaddon,1
Puck,Death Prophet,Slark,Bane,Mirana,Ogre Magi,Ember Spirit,Tiny,Pugna,Abaddon,0
Void Spirit,Lich,Venomancer,Anti-Mage,Tusk,Legion Commander,Pangolier,Snapfire,Ursa,Rubick,0
Witch Doctor,Meepo,Queen of Pain,Tiny,Timbersaw,Leshrac,Vengeful Spirit,Terrorblade,Undying,Tusk,1
Tusk,Lich,Venomancer,Void Spirit,Anti-Mage,Legion Commander,Rubick,Pangolier,Snapfire,Ursa,1
Drow Ranger,Night Stalker,Phoenix,Medusa,Grimstroke,Ursa,Mars,Lone Druid,Dazzle,Queen of Pain,0
Phantom Lancer,Void Spirit,Legion Commander,Rubick,Grimstroke,Jakiro,Tusk,Viper,Ember Spirit,Slark,0
Crystal Maiden,Pugna,Lina,Bristleback,Juggernaut,Spectre,Lich,Invoker,Sand King,Grimstroke,1
Night Stalker,Nature's Prophet,Legion Commander,Anti-Mage,Oracle,Luna,Axe,Queen of Pain,Tusk,Vengeful Spirit,0
Clockwerk,Necrophos,Troll Warlord,Timbersaw,Bane,Chen,Shadow Fiend,Nature's Prophet,Pugna,Earth Spirit,0
Jakiro,Ember Spirit,Luna,Kunkka,Phoenix,Rubick,Void Spirit,Slark,Nature's Prophet,Disruptor,1
Puck,Terrorblade,Queen of Pain,Earthshaker,Vengeful Spirit,Zeus,Anti-Mage,Timbersaw,Lich,Mirana,1
Phantom Assassin,Centaur Warrunner,Phoenix,Puck,Treant Protector,Bane,Anti-Mage,Kunkka,Clockwerk,Mirana,1
Mirana,Drow Ranger,Lion,Pugna,Nyx Assassin,Leshrac,Shadow Demon,Dragon Knight,Centaur Warrunner,Chen,0
Lich,Shadow Fiend,Centaur Warrunner,Mirana,Anti-Mage,Enchantress,Queen of Pain,Ember Spirit,Morphling,Earthshaker,1
Naga Siren,Doom,Earthshaker,Death Prophet,Disruptor,Treant Protector,Wraith King,Lina,Phoenix,Rubick,0
Crystal Maiden,Luna,Leshrac,Pangolier,Templar Assassin,Chen,Pugna,Juggernaut,Tusk,Nature's Prophet,0
Anti-Mage,Puck,Centaur Warrunner,Disruptor,Earthshaker,Nature's Prophet,Alchemist,Tiny,Rubick,Clockwerk,0
Crystal Maiden,Shadow Fiend,Vengeful Spirit,Juggernaut,Beastmaster,Templar Assassin,Batrider,Abaddon,Terrorblade,Rubick,0
Queen of Pain,Tiny,Oracle,Troll Warlord,Ember Spirit,Puck,Earth Spirit,Enigma,Enchantress,Terrorblade,1
Bane,Void Spirit,Doom,Spectre,Tusk,Rubick,Wraith King,Clockwerk,Nature's Prophet,Queen of Pain,1
Ember Spirit,Pugna,Oracle,Bounty Hunter,Nature's Prophet,Chen,Void Spirit,Grimstroke,Tiny,Slark,0
Pangolier,Clockwerk,Windranger,Witch Doctor,Lycan,Tusk,Legion Commander,Slark,Shadow Fiend,Ogre Magi,0
Tiny,Jakiro,Spectre,Storm Spirit,Winter Wyvern,Nature's Prophet,Nyx Assassin,Lifestealer,Legion Commander,Bane,0
Clockwerk,Disruptor,Mars,Queen of Pain,Slark,Tiny,Templar Assassin,Spectre,Earthshaker,Treant Protector,0
Void Spirit,Vengeful Spirit,Terrorblade,Shadow Shaman,Puck,Storm Spirit,Batrider,Lich,Morphling,Grimstroke,0
Grimstroke,Phoenix,Faceless Void,Ember Spirit,Nature's Prophet,Doom,Tiny,Witch Doctor,Void Spirit,Troll Warlord,1
Earthshaker,Lich,Queen of Pain,Morphling,Mars,Treant Protector,Tiny,Doom,Snapfire,Spectre,0
Nyx Assassin,Mars,Venomancer,Bristleback,Warlock,Tidehunter,Templar Assassin,Shadow Shaman,Keeper of the Light,Ember Spirit,0
Nature's Prophet,Earthshaker,Spectre,Venomancer,Disruptor,Pangolier,Clockwerk,Dragon Knight,Mirana,Ursa,1
Disruptor,Nature's Prophet,Puck,Slark,Earth Spirit,Ember Spirit,Spectre,Earthshaker,Grimstroke,Templar Assassin,1
Pangolier,Dazzle,Templar Assassin,Tusk,Nature's Prophet,Kunkka,Spectre,Crystal Maiden,Clinkz,Tiny,0
Windranger,Clockwerk,Puck,Troll Warlord,Jakiro,Luna,Centaur Warrunner,Queen of Pain,Vengeful Spirit,Rubick,1
Nature's Prophet,Mirana,Abaddon,Puck,Phantom Lancer,Queen of Pain,Keeper of the Light,Pangolier,Ember Spirit,Dazzle,1
Beastmaster,Oracle,Pangolier,Ember Spirit,Phantom Assassin,Venomancer,Bloodseeker,Clinkz,Spirit Breaker,Bane,1
Queen of Pain,Ember Spirit,Oracle,Ursa,Nyx Assassin,Dragon Knight,Bounty Hunter,Templar Assassin,Winter Wyvern,Phoenix,1
Visage,Templar Assassin,Nature's Prophet,Faceless Void,Vengeful Spirit,Invoker,Enigma,Phoenix,Ogre Magi,Clinkz,1
Centaur Warrunner,Ember Spirit,Slark,Warlock,Earth Spirit,Nature's Prophet,Legion Commander,Clockwerk,Shadow Fiend,Crystal Maiden,0
Dragon Knight,Batrider,Nyx Assassin,Lycan,Grimstroke,Mirana,Timbersaw,Kunkka,Luna,Oracle,0
Shadow Demon,Viper,Void Spirit,Mirana,Phantom Lancer,Batrider,Nature's Prophet,Lich,Spectre,Tusk,0
Batrider,Elder Titan,Silencer,Phantom Lancer,Mirana,Jakiro,Vengeful Spirit,Sand King,Shadow Demon,Terrorblade,1
Skywrath Mage,Morphling,Legion Commander,Enchantress,Timbersaw,Jakiro,Nature's Prophet,Void Spirit,Riki,Clockwerk,0
Winter Wyvern,Rubick,Void Spirit,Terrorblade,Beastmaster,Dark Willow,Storm Spirit,Mars,Jakiro,Ursa,1
Mirana,Invoker,Pangolier,Ogre Magi,Morphling,Leshrac,Dragon Knight,Shadow Shaman,Rubick,Ursa,1
Ogre Magi,Queen of Pain,Doom,Mirana,Pangolier,Mars,Phoenix,Terrorblade,Void Spirit,Clockwerk,1
Void Spirit,Bloodseeker,Dark Willow,Clockwerk,Zeus,Terrorblade,Visage,Beastmaster,Shadow Demon,Mirana,1
Abaddon,Leshrac,Treant Protector,Rubick,Terrorblade,Phoenix,Faceless Void,Elder Titan,Zeus,Timbersaw,1
Void Spirit,Treant Protector,Terrorblade,Visage,Snapfire,Clockwerk,Spectre,Zeus,Brewmaster,Phoenix,1
Death Prophet,Ogre Magi,Troll Warlord,Beastmaster,Jakiro,Centaur Warrunner,Leshrac,Ursa,Rubick,Warlock,1
Doom,Clockwerk,Weaver,Ancient Apparition,Legion Commander,Earthshaker,Lifestealer,Batrider,Clinkz,Venomancer,1
Dragon Knight,Morphling,Vengeful Spirit,Mirana,Oracle,Dark Willow,Void Spirit,Spectre,Pugna,Bane,0
Batrider,Ursa,Clockwerk,Kunkka,Keeper of the Light,Tiny,Snapfire,Slark,Pangolier,Puck,0
Jakiro,Queen of Pain,Legion Commander,Earth Spirit,Spectre,Vengeful Spirit,Templar Assassin,Nature's Prophet,Keeper of the Light,Ember Spirit,1
Doom,Rubick,Slark,Shadow Fiend,Warlock,Storm Spirit,Witch Doctor,Faceless Void,Ogre Magi,Bounty Hunter,0
Treant Protector,Ember Spirit,Phoenix,Arc Warden,Clockwerk,Anti-Mage,Venomancer,Jakiro,Tiny,Doom,0
Slark,Legion Commander,Mirana,Lich,Ember Spirit,Queen of Pain,Morphling,Batrider,Oracle,Earthshaker,0
Phoenix,Treant Protector,Arc Warden,Ember Spirit,Clockwerk,Anti-Mage,Venomancer,Tiny,Doom,Jakiro,1
Jakiro,Venomancer,Templar Assassin,Puck,Pangolier,Centaur Warrunner,Spectre,Clockwerk,Queen of Pain,Keeper of the Light,1
Ember Spirit,Luna,Silencer,Centaur Warrunner,Crystal Maiden,Tusk,Morphling,Venomancer,Lion,Enigma,0
Bane,Void Spirit,Brewmaster,Snapfire,Ursa,Tiny,Shadow Fiend,Nature's Prophet,Vengeful Spirit,Magnus,0
Earthshaker,Spectre,Nature's Prophet,Batrider,Oracle,Death Prophet,Mars,Phantom Assassin,Shadow Demon,Phoenix,1
Shadow Demon,Tusk,Anti-Mage,Kunkka,Ancient Apparition,Juggernaut,Rubick,Legion Commander,Necrophos,Bane,1
Shadow Fiend,Centaur Warrunner,Ursa,Treant Protector,Pugna,Mars,Shadow Demon,Drow Ranger,Queen of Pain,Rubick,1
Nature's Prophet,Tusk,Legion Commander,Weaver,Axe,Lich,Spectre,Earth Spirit,Pangolier,Batrider,0
Queen of Pain,Pugna,Nyx Assassin,Jakiro,Ursa,Mars,Nature's Prophet,Ember Spirit,Disruptor,Skywrath Mage,1
Tusk,Ancient Apparition,Troll Warlord,Queen of Pain,Centaur Warrunner,Timbersaw,Windranger,Phantom Assassin,Slardar,Shadow Shaman,0
Ogre Magi,Faceless Void,Void Spirit,Mirana,Night Stalker,Dazzle,Lycan,Pugna,Pangolier,Oracle,1
Bounty Hunter,Templar Assassin,Tiny,Oracle,Nature's Prophet,Centaur Warrunner,Riki,Queen of Pain,Winter Wyvern,Grimstroke,1
Legion Commander,Chaos Knight,Crystal Maiden,Ogre Magi,Tidehunter,Invoker,Pangolier,Jakiro,Tiny,Leshrac,0
Vengeful Spirit,Lifestealer,Necrophos,Night Stalker,Void Spirit,Witch Doctor,Puck,Sven,Bristleback,Batrider,1
Bane,Clockwerk,Slark,Dark Seer,Earth Spirit,Puck,Wraith King,Leshrac,Vengeful Spirit,Treant Protector,1
Winter Wyvern,Spectre,Sand King,Mirana,Windranger,Queen of Pain,Lifestealer,Jakiro,Viper,Earthshaker,1
Earthshaker,Abaddon,Beastmaster,Mirana,Kunkka,Sand King,Phoenix,Phantom Lancer,Treant Protector,Queen of Pain,1
Kunkka,Phoenix,Jakiro,Invoker,Nature's Prophet,Legion Commander,Rubick,Terrorblade,Death Prophet,Winter Wyvern,0
Rubick,Legion Commander,Ember Spirit,Mars,Jakiro,Pangolier,Ogre Magi,Mirana,Morphling,Nature's Prophet,0
Jakiro,Ursa,Tiny,Shadow Demon,Templar Assassin,Keeper of the Light,Riki,Legion Commander,Medusa,Puck,0
Clockwerk,Drow Ranger,Jakiro,Necrophos,Lina,Earthshaker,Tinker,Abaddon,Windranger,Morphling,1
Keeper of the Light,Abaddon,Pangolier,Tusk,Nature's Prophet,Jakiro,Storm Spirit,Ogre Magi,Troll Warlord,Pugna,1
Winter Wyvern,Queen of Pain,Timbersaw,Treant Protector,Lifestealer,Enchantress,Viper,Earth Spirit,Luna,Puck,0
Shadow Fiend,Windranger,Timbersaw,Bane,Necrophos,Nature's Prophet,Gyrocopter,Disruptor,Ember Spirit,Clockwerk,0
